sep=,
ID,Text,Translation,VoiceActor,Context
118437479641,"<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Fragmentation effects increase Critical Damage
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Increased bonus from Aiming
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Increased range
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Increased Critical Chance scaling",,,ModItemInventoryItemCompositeDef _556_Match AdditionalHint
243892977981,5.56 mm Tracer,,,ModItemInventoryItemCompositeDef _556_Tracer DisplayName
583891597385,5.56 mm Tracer,,,ModItemInventoryItemCompositeDef _556_Tracer DisplayNamePlural
598092596341,"5.56 Ammo for Assault Rifles, SMGs, and Machine Guns.",,,ModItemInventoryItemCompositeDef _556_Tracer Description
369523282563,"<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Fragmentation effects increase Critical Damage
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Hit enemies are <color EmStyle>Marked</color> 
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Attacker and target have their positions <color EmStyle>Revealed</color>, making them easier to hit in the dark
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Easier to compensate recoil in multishot attacks",,,ModItemInventoryItemCompositeDef _556_Tracer AdditionalHint
600557632961,5.56 mm Armor Piercing,,,ModItemInventoryItemCompositeDef _556_AP DisplayName
924283823767,5.56 mm Armor Piercing,,,ModItemInventoryItemCompositeDef _556_AP DisplayNamePlural
710104102855,"5.56 Ammo for Assault Rifles, SMGs, and Machine Guns.",,,ModItemInventoryItemCompositeDef _556_AP Description
933257695658,"<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Fragmentation effects increase Critical Damage
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Improved armor penetration
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Decreased Critical Damage
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Increased recoil",,,ModItemInventoryItemCompositeDef _556_AP AdditionalHint
205090018120,.50 Standard,,,ModItemInventoryItemCompositeDef _50BMG_Basic DisplayName
570487837923,.50 Standard,,,ModItemInventoryItemCompositeDef _50BMG_Basic DisplayNamePlural
215774189221,".50 Ammo for Machine Guns, Snipers and Handguns.",,,ModItemInventoryItemCompositeDef _50BMG_Basic Description
738668600705,.50 Explosive,,,ModItemInventoryItemCompositeDef _50BMG_HE DisplayName
250096960003,.50 Explosive,,,ModItemInventoryItemCompositeDef _50BMG_HE DisplayNamePlural
992448606469,".50 Ammo for Machine Guns, Snipers and Handguns.",,,ModItemInventoryItemCompositeDef _50BMG_HE Description
814749886173,"<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> No armor penetration
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> High Crit chance",,,ModItemInventoryItemCompositeDef _50BMG_HE AdditionalHint
224929411148,.50 Frag,,,ModItemInventoryItemCompositeDef _50BMG_Incendiary DisplayName
305699877485,.50 Frag,,,ModItemInventoryItemCompositeDef _50BMG_Incendiary DisplayNamePlural
619737817725,".50 Ammo for Machine Guns, Snipers and Handguns.",,,ModItemInventoryItemCompositeDef _50BMG_Incendiary Description
209155820492,"<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Hit enemies are <color EmStyle>Exposed</color> and lose the benefits of Cover
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Inflicts <color EmStyle>Burning</color>",,,ModItemInventoryItemCompositeDef _50BMG_Incendiary AdditionalHint
744285738454,.50 SLAP,,,ModItemInventoryItemCompositeDef _50BMG_SLAP DisplayName
215269486125,.50 SLAP,,,ModItemInventoryItemCompositeDef _50BMG_SLAP DisplayNamePlural
756896868744,".50 Ammo for Machine Guns, Snipers and Handguns.",,,ModItemInventoryItemCompositeDef _50BMG_SLAP Description
299625828312,"<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Improved armor penetration
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Slightly higher Crit chance",,,ModItemInventoryItemCompositeDef _50BMG_SLAP AdditionalHint
134192824079,7.62 mm NATO Hollow Point,,,ModItemInventoryItemCompositeDef _762NATO_HP DisplayName
878088803504,7.62 mm NATO Hollow Point,,,ModItemInventoryItemCompositeDef _762NATO_HP DisplayNamePlural
681496686004,"7.62 NATO ammo for Assault Rifles, SMGs, and Machine Guns.",,,ModItemInventoryItemCompositeDef _762NATO_HP Description
519059061039,"<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> No armor penetration
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> High Critical Damage
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Inflicts <color EmStyle>Bleeding</color> ",,,ModItemInventoryItemCompositeDef _762NATO_HP AdditionalHint
935477693270,7.62 mm NATO Standard,,,ModItemInventoryItemCompositeDef _762NATO_Basic DisplayName
211805067677,7.62 mm NATO Standard,,,ModItemInventoryItemCompositeDef _762NATO_Basic DisplayNamePlural
593788801634,"7.62 NATO ammo for Assault Rifles, SMGs, and Machine Guns.",,,ModItemInventoryItemCompositeDef _762NATO_Basic Description
387917883018,7.62 mm NATO Match,,,ModItemInventoryItemCompositeDef _762NATO_Match DisplayName
988731545740,7.62 mm NATO Match,,,ModItemInventoryItemCompositeDef _762NATO_Match DisplayNamePlural
742555181078,"7.62 NATO ammo for Assault Rifles, Rifles, and Machine Guns.",,,ModItemInventoryItemCompositeDef _762NATO_Match Description
972166420301,"<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Increased bonus from Aiming
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Increased range
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Increased Critical Chance scaling",,,ModItemInventoryItemCompositeDef _762NATO_Match AdditionalHint
924848597374,7.62 mm NATO Tracer,,,ModItemInventoryItemCompositeDef _762NATO_Tracer DisplayName
917283352996,7.62 mm NATO Tracer,,,ModItemInventoryItemCompositeDef _762NATO_Tracer DisplayNamePlural
600166708044,"7.62 NATO ammo for Assault Rifles, Rifles, and Machine Guns.",,,ModItemInventoryItemCompositeDef _762NATO_Tracer Description
907879425916,"<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Hit enemies are <color EmStyle>Marked</color> 
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Attacker and target have their positions <color EmStyle>Revealed</color>, making them easier to hit in the dark
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Easier to compensate recoil in multishot attacks",,,ModItemInventoryItemCompositeDef _762NATO_Tracer AdditionalHint
432086535015,7.62 mm NATO Armor Piercing,,,ModItemInventoryItemCompositeDef _762NATO_AP DisplayName
948782088109,7.62 mm NATO Armor Piercing,,,ModItemInventoryItemCompositeDef _762NATO_AP DisplayNamePlural
762990944795,"7.62 NATO ammo for Assault Rifles, Rifles, and Machine Guns.",,,ModItemInventoryItemCompositeDef _762NATO_AP Description
459670675799,"<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Improved armor penetration
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Decreased Critical Damage
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Increased recoil",,,ModItemInventoryItemCompositeDef _762NATO_AP AdditionalHint
475999538064,7.92x57 mm Armor Piercing,,,ModItemInventoryItemCompositeDef _79257_AP DisplayName
985646479437,7.92x57 mm Armor Piercing,,,ModItemInventoryItemCompositeDef _79257_AP DisplayNamePlural
339597228425,7.92x57 mm ammo for Rifles and Machine Guns. Also known as 8mm Mauser.,,,ModItemInventoryItemCompositeDef _79257_AP Description
865327027225,"<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Improved armor penetration
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Decreased Critical Damage
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Increased recoil",,,ModItemInventoryItemCompositeDef _79257_AP AdditionalHint
541505833631,7.92x57 mm Standard,,,ModItemInventoryItemCompositeDef _79257_Basic DisplayName
401106337259,7.92x57 mm Standard,,,ModItemInventoryItemCompositeDef _79257_Basic DisplayNamePlural
427217931354,7.92x57 mm ammo for Rifles and Machine Guns. Also known as 8mm Mauser.,,,ModItemInventoryItemCompositeDef _79257_Basic Description
607611100835,7.92x57 mm Hollow Point,,,ModItemInventoryItemCompositeDef _79257_HP DisplayName
933405594600,7.92x57 mm Hollow Point,,,ModItemInventoryItemCompositeDef _79257_HP DisplayNamePlural
235076085944,7.92x57 mm ammo for Rifles and Machine Guns. Also known as 8mm Mauser.,,,ModItemInventoryItemCompositeDef _79257_HP Description
211661937304,"<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> No armor penetration
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> High Critical Damage
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Inflicts <color EmStyle>Bleeding</color> ",,,ModItemInventoryItemCompositeDef _79257_HP AdditionalHint
896093733337,7.92x57 mm Match,,,ModItemInventoryItemCompositeDef _79257_Match DisplayName
805840788770,7.92x57 mm Match,,,ModItemInventoryItemCompositeDef _79257_Match DisplayNamePlural
450673135031,7.92x57 mm ammo for Rifles and Machine Guns. Also known as 8mm Mauser.,,,ModItemInventoryItemCompositeDef _79257_Match Description
455550566338,"<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Increased bonus from Aiming
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Increased range
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Increased Critical Chance scaling",,,ModItemInventoryItemCompositeDef _79257_Match AdditionalHint
473901746794,7.92x57 mm Tracer,,,ModItemInventoryItemCompositeDef _79257_Tracer DisplayName
387227692992,7.92x57 mm Tracer,,,ModItemInventoryItemCompositeDef _79257_Tracer DisplayNamePlural
893624037932,7.92x57 mm ammo for Rifles and Machine Guns. Also known as 8mm Mauser.,,,ModItemInventoryItemCompositeDef _79257_Tracer Description
472806386061,"<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Hit enemies are <color EmStyle>Marked</color> 
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Attacker and target have their positions <color EmStyle>Revealed</color>, making them easier to hit in the dark
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Easier to compensate recoil in multishot attacks",,,ModItemInventoryItemCompositeDef _79257_Tracer AdditionalHint
112011058892,7.62 mm WP Hollow Point,,,ModItemInventoryItemCompositeDef _762WP_HP DisplayName
131735899365,7.62 mm WP Hollow Point,,,ModItemInventoryItemCompositeDef _762WP_HP DisplayNamePlural
615985475377,"7.62 Warsaw Pact ammo for Assault Rifles, SMGs, Machine Guns, and Snipers.",,,ModItemInventoryItemCompositeDef _762WP_HP Description
161591948549,"<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> No armor penetration
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> High Critical Damage
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Inflicts <color EmStyle>Bleeding</color> ",,,ModItemInventoryItemCompositeDef _762WP_HP AdditionalHint
227414057145,7.62 mm WP Standard,,,ModItemInventoryItemCompositeDef _762WP_Basic DisplayName
902260839054,7.62 mm WP Standard,,,ModItemInventoryItemCompositeDef _762WP_Basic DisplayNamePlural
730812560449,"7.62 Warsaw Pact ammo for Assault Rifles, SMGs, Machine Guns, and Rifles.",,,ModItemInventoryItemCompositeDef _762WP_Basic Description
411137407927,7.62 mm WP Match,,,ModItemInventoryItemCompositeDef _762WP_Match DisplayName
943602002258,7.62 mm WP Match,,,ModItemInventoryItemCompositeDef _762WP_Match DisplayNamePlural
356794160651,"7.62 Warsaw Pact ammo for Assault Rifles, SMGs, Machine Guns, and Rifles.",,,ModItemInventoryItemCompositeDef _762WP_Match Description
537932082234,"<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Increased bonus from Aiming
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Increased range
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Increased Critical Chance scaling",,,ModItemInventoryItemCompositeDef _762WP_Match AdditionalHint
267788900512,7.62 mm WP Armor Piercing,,,ModItemInventoryItemCompositeDef _762WP_AP DisplayName
356892535306,7.62 mm WP Armor Piercing,,,ModItemInventoryItemCompositeDef _762WP_AP DisplayNamePlural
643968489814,"7.62 Warsaw Pact ammo for Assault Rifles, SMGs, Machine Guns, and Rifles.",,,ModItemInventoryItemCompositeDef _762WP_AP Description
890506330615,"<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Improved armor penetration
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Decreased Critical Damage
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Increased recoil",,,ModItemInventoryItemCompositeDef _762WP_AP AdditionalHint
987098472937,7.62 mm WP Tracer,,,ModItemInventoryItemCompositeDef _762WP_Tracer DisplayName
172004128409,7.62 mm WP Tracer,,,ModItemInventoryItemCompositeDef _762WP_Tracer DisplayNamePlural
906748958272,"7.62 Warsaw Pact ammo for Assault Rifles, SMGs, Machine Guns, and Rifles.",,,ModItemInventoryItemCompositeDef _762WP_Tracer Description
100122976377,"<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Hit enemies are <color EmStyle>Marked</color> 
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Attacker and target have their positions <color EmStyle>Revealed</color>, making them easier to hit in the dark
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Easier to compensate recoil in multishot attacks",,,ModItemInventoryItemCompositeDef _762WP_Tracer AdditionalHint
435656572771,5.45x39 mm Armor Piercing,,,ModItemInventoryItemCompositeDef _54539_AP DisplayName
289115251261,5.45x39 mm Armor Piercing,,,ModItemInventoryItemCompositeDef _54539_AP DisplayNamePlural
788343361474,"5.45x39 mm ammo for Soviet Assault Rifles, SMGs and Machine Guns.",,,ModItemInventoryItemCompositeDef _54539_AP Description
250462996756,"<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Tumbling effects increase Critical Chance
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Improved armor penetration
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Decreased Critical Damage
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Increased recoil",,,ModItemInventoryItemCompositeDef _54539_AP AdditionalHint
927603767425,5.45x39 mm Standard,,,ModItemInventoryItemCompositeDef _54539_Basic DisplayName
600929895830,5.45x39 mm Standard,,,ModItemInventoryItemCompositeDef _54539_Basic DisplayNamePlural
486040919412,"5.45x39 mm ammo for Soviet Assault Rifles, SMGs and Machine Guns.",,,ModItemInventoryItemCompositeDef _54539_Basic Description
977131894837,<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Tumbling effects increase Critical Chance,,,ModItemInventoryItemCompositeDef _54539_Basic AdditionalHint
566550874710,5.45x39 mm Hollow Point,,,ModItemInventoryItemCompositeDef _54539_HP DisplayName
740678411371,5.45x39 mm Hollow Point,,,ModItemInventoryItemCompositeDef _54539_HP DisplayNamePlural
748237552261,"5.45x39 mm ammo for Soviet Assault Rifles, SMGs and Machine Guns.",,,ModItemInventoryItemCompositeDef _54539_HP Description
866354746761,"<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Tumbling effects increase Critical Chance
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> No armor penetration
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Increased Critical Damage
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Inflicts <color EmStyle>Bleeding</color>
",,,ModItemInventoryItemCompositeDef _54539_HP AdditionalHint
374713278792,5.45x39 mm Match,,,ModItemInventoryItemCompositeDef _54539_Match DisplayName
946177478831,5.45x39 mm Match,,,ModItemInventoryItemCompositeDef _54539_Match DisplayNamePlural
831414139146,"545x39 mm ammo for Soviet Assault Rifles, SMGs and Machine Guns.",,,ModItemInventoryItemCompositeDef _54539_Match Description
489625771475,"<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Tumbling effects increase Critical Chance
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Increased bonus from Aiming
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Increased range
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Increased Critical Chance scaling",,,ModItemInventoryItemCompositeDef _54539_Match AdditionalHint
429417729770,5.45x39 mm Tracer,,,ModItemInventoryItemCompositeDef _54539_Tracer DisplayName
332218519170,5.45x39 mm Tracer,,,ModItemInventoryItemCompositeDef _54539_Tracer DisplayNamePlural
951916000818,"5.45x39 mm ammo for Soviet Assault Rifles, SMGs and Machine Guns.",,,ModItemInventoryItemCompositeDef _54539_Tracer Description
273847629126,"<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Tumbling effects increase Critical Chance
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Hit enemies are <color EmStyle>Marked</color> 
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Attacker and target have their positions <color EmStyle>Revealed</color>, making them easier to hit in the dark
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Easier to compensate recoil in multishot attacks",,,ModItemInventoryItemCompositeDef _54539_Tracer AdditionalHint
656791150837,7.62x54 mmR Armor Piercing,,,ModItemInventoryItemCompositeDef _76254R_AP DisplayName
499328191390,7.62x54 mmR Armor Piercing,,,ModItemInventoryItemCompositeDef _76254R_AP DisplayNamePlural
990715196230,7.62x54mmR Armor Pìercing ammo for Soviet Snipers.,,,ModItemInventoryItemCompositeDef _76254R_AP Description
232979048783,"<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Improved armor penetration
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Decreased Critical Damage
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Increased recoil",,,ModItemInventoryItemCompositeDef _76254R_AP AdditionalHint
153597847062,7.62x54 mmR Standard,,,ModItemInventoryItemCompositeDef _76254R_Basic DisplayName
605220232033,7.62x54 mmR Standard,,,ModItemInventoryItemCompositeDef _76254R_Basic DisplayNamePlural
652416980425,7.62x54 mmR ammo for Soviet Snipers.,,,ModItemInventoryItemCompositeDef _76254R_Basic Description
846418440449,7.62x54 mmR Hollow Point,,,ModItemInventoryItemCompositeDef _76254R_HP DisplayName
580211949695,7.62x54 mmR Hollow Point,,,ModItemInventoryItemCompositeDef _76254R_HP DisplayNamePlural
847846994662,7.62x54 mmR ammo for Soviet Snipers.,,,ModItemInventoryItemCompositeDef _76254R_HP Description
602212805896,"<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> No armor penetration
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> High Critical Damage
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Inflicts <color EmStyle>Bleeding</color>",,,ModItemInventoryItemCompositeDef _76254R_HP AdditionalHint
698293087022,7.62x54 mmR Match,,,ModItemInventoryItemCompositeDef _76254R_Match DisplayName
607679677001,7.62x54 mmR Match,,,ModItemInventoryItemCompositeDef _76254R_Match DisplayNamePlural
469488049803,7.62x54 mmR ammo for Soviet Snipers.,,,ModItemInventoryItemCompositeDef _76254R_Match Description
814572178083,"<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Increased bonus from Aiming
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Increased range
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Increased Critical Chance scaling",,,ModItemInventoryItemCompositeDef _76254R_Match AdditionalHint
569379365760,7.62x54 mmR Tracer,,,ModItemInventoryItemCompositeDef _76254R_Tracer DisplayName
142781389687,7.62x54 mmR Tracer,,,ModItemInventoryItemCompositeDef _76254R_Tracer DisplayNamePlural
832089570121,7.62x54 mmR ammo for Soviet Snipers.,,,ModItemInventoryItemCompositeDef _76254R_Tracer Description
670108615260,"<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Hit enemies are <color EmStyle>Marked</color> 
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Attacker and target have their positions <color EmStyle>Revealed</color>, making them easier to hit in the dark
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Easier to compensate recoil in multishot attacks",,,ModItemInventoryItemCompositeDef _76254R_Tracer AdditionalHint
503345694171,12-gauge Flechette,,,ModItemInventoryItemCompositeDef _12gauge_Flechette DisplayName
731954084266,12-gauge Flechette,,,ModItemInventoryItemCompositeDef _12gauge_Flechette DisplayNamePlural
957883401632,12-gauge ammo for Shotguns.,,,ModItemInventoryItemCompositeDef _12gauge_Flechette Description
158068719459,"<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Longer range
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Less damage
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Narrow attack cone
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Inflicts <color EmStyle>Bleeding</color>",,,ModItemInventoryItemCompositeDef _12gauge_Flechette AdditionalHint
774145006154,12-gauge Breacher,,,ModItemInventoryItemCompositeDef _12gauge_Breacher DisplayName
566625716099,12-gauge Breacher,,,ModItemInventoryItemCompositeDef _12gauge_Breacher DisplayNamePlural
564433529540,12-gauge ammo for Shotguns.,,,ModItemInventoryItemCompositeDef _12gauge_Breacher Description
